"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
-117.1,32.67,15,1635,553,1347,597,1.2745,92900,"NEAR OCEAN"
-117.92,33.83,52,1514,301,855,293,3.6042,166400,"<1H OCEAN"
-121.88,37.43,31,2573,474,1898,475,5.6651,204100,"<1H OCEAN"
-117.3,34.54,25,2546,488,1338,487,3.2596,85400,"INLAND"
-118.22,34.1,35,4003,788,2785,764,4.1213,252100,"<1H OCEAN"
-118.31,33.74,22,5042,974,2260,935,4.3472,351200,"NEAR OCEAN"
-116.42,33.51,26,186,48,102,39,2.5625,103100,"INLAND"
-118.26,34.12,45,2839,698,1768,653,3.1306,214000,"<1H OCEAN"
-117.04,32.8,25,2504,345,1067,350,5.7416,243400,"<1H OCEAN"
-118.07,33.88,17,2407,539,1422,524,4.2619,139700,"<1H OCEAN"
-120.57,38.2,13,4110,847,1796,706,2.6417,122300,"INLAND"
-117.22,32.84,19,2691,347,1154,366,8.051,363600,"NEAR OCEAN"
-122.07,37.36,28,4612,608,1686,567,10.0346,500001,"<1H OCEAN"
-122.12,37.69,35,2681,508,1580,536,4.1042,179100,"NEAR BAY"
-117.93,33.61,27,1806,465,791,358,3.8125,366700,"<1H OCEAN"
-121.99,37.54,26,2332,371,1285,404,5.388,225000,"<1H OCEAN"
-122.52,37.94,18,1804,284,600,241,5.9582,500001,"NEAR BAY"
-122.08,37.89,39,3018,501,1223,489,6.2924,283900,"NEAR BAY"
-116.95,32.76,13,5543,857,2074,737,4.9528,266200,"<1H OCEAN"
-118.23,34.09,45,1747,484,1680,441,2.6051,155500,"<1H OCEAN"
-119.33,36.28,16,2624,527,1077,520,2.125,104200,"INLAND"
-119.79,36.31,25,4984,1029,2414,961,2.2937,72300,"INLAND"
-120.61,37.36,16,638,NA,380,132,1.9135,87500,"INLAND"
-120.16,39.01,16,1463,264,54,26,4.975,206300,"INLAND"
-120.96,38.66,11,2339,436,1062,380,3.9036,180800,"INLAND"
-117.21,32.75,27,2072,534,1118,510,2.8043,262100,"NEAR OCEAN"
-117.93,33.91,24,1698,297,676,273,5.2017,364600,"<1H OCEAN"
-121.44,38.71,25,2336,406,1172,408,3.5129,101200,"INLAND"
-118.28,33.97,38,1819,497,2110,499,1.6027,97300,"<1H OCEAN"
-118.06,33.91,21,2863,701,1489,621,3.2031,180700,"<1H OCEAN"
-118.29,34.11,49,2850,379,1113,380,12.9591,500001,"<1H OCEAN"
-118.23,34.65,17,1827,348,766,335,3.5673,136300,"INLAND"
-118.28,34.01,50,2601,794,3080,770,1.8656,122900,"<1H OCEAN"
-122.07,37.35,35,1579,210,570,196,8.5888,500001,"<1H OCEAN"
-122.45,37.73,52,2035,424,1193,430,5.0634,264200,"NEAR BAY"
-118.44,34.3,38,1595,314,1181,327,3.4,155500,"<1H OCEAN"
-118.37,34.08,52,1234,223,543,213,6.0338,423700,"<1H OCEAN"
-121.98,38.36,30,140,35,103,35,4.163,112500,"INLAND"
-118.13,33.81,36,1749,322,855,319,4.6473,227100,"<1H OCEAN"
-117.75,33.71,15,2849,537,878,520,3.2841,158300,"<1H OCEAN"
-122.14,37.73,43,2264,390,931,368,3.8125,235100,"NEAR BAY"
-119.29,34.4,22,3891,657,1727,581,4.2656,241400,"NEAR OCEAN"
-118.19,33.98,40,973,272,1257,258,2.8214,158000,"<1H OCEAN"
-118.4,34.22,36,2557,540,1556,491,3.6591,183800,"<1H OCEAN"
-122.94,39.1,18,681,120,272,105,2.8906,140600,"INLAND"
-117.75,33.61,16,2270,488,709,489,3.2845,227600,"<1H OCEAN"
-121.42,38.51,21,3249,666,2611,663,1.9423,87800,"INLAND"
-118.32,33.95,44,2023,325,992,326,4.6667,175600,"<1H OCEAN"
-122.42,37.8,52,3823,1040,1830,977,4.2458,450000,"NEAR BAY"
-121.46,38.48,8,3593,659,1710,530,3.5227,93100,"INLAND"
-118.12,33.81,36,1665,291,721,294,4.6875,250700,"<1H OCEAN"
-118.31,33.99,48,2235,433,1363,433,1.6559,101400,"<1H OCEAN"
-117.29,34.49,3,7689,1545,3804,1399,3.3871,111800,"INLAND"
-122.34,41.21,26,178,40,55,25,2.0375,57500,"INLAND"
-117.13,32.92,16,1565,257,893,239,5.5036,192300,"<1H OCEAN"
-118.09,33.84,23,4412,910,2380,825,4.54,213100,"<1H OCEAN"
-118.27,33.96,38,977,295,1073,292,1.0208,86400,"<1H OCEAN"
-122.44,37.77,52,3505,745,1374,714,4.3667,500001,"NEAR BAY"
-119.67,36.81,4,1262,216,622,199,4.9432,114400,"INLAND"
-117.33,34.13,18,3009,740,2317,659,1.6375,72400,"INLAND"
-118.03,33.72,24,5203,957,2465,946,5.163,261000,"<1H OCEAN"
-122.72,38.42,30,2099,406,1156,401,2.8036,152300,"<1H OCEAN"
-118.13,34.69,34,2156,397,1269,388,2.75,96800,"INLAND"
-122.2,37.77,41,1547,415,1024,341,2.0562,102000,"NEAR BAY"
-118.03,33.79,32,3191,634,1718,611,4.1548,216600,"<1H OCEAN"
-122.33,38.21,33,2017,370,949,342,4.625,228600,"NEAR BAY"
-119.01,35.35,34,1354,325,922,304,2.1875,58000,"INLAND"
-118.13,34.08,35,2517,662,1883,607,2.5787,223000,"<1H OCEAN"
-122.4,37.71,47,1649,328,1183,356,3.3625,223700,"NEAR BAY"
-121.79,36.64,11,32627,6445,28566,6082,2.3087,118800,"<1H OCEAN"
-122.1,37.65,25,2538,494,1185,501,4.5417,194400,"NEAR BAY"
-117.87,33.6,34,3415,779,1275,718,4.498,482900,"<1H OCEAN"
-124.03,40.45,34,1006,213,443,158,2.6094,71300,"<1H OCEAN"
-117.87,33.82,26,2435,346,1088,350,5.9397,249400,"<1H OCEAN"
-117.03,32.77,34,1796,428,918,424,2.875,161200,"<1H OCEAN"
-118.09,34.12,45,2966,415,1231,409,7.8347,500001,"<1H OCEAN"
-117.99,33.85,35,1661,272,949,276,5.2548,192600,"<1H OCEAN"
-117.37,33.97,38,1156,241,877,200,1.4514,79900,"INLAND"
-116.58,32.69,19,4085,876,2133,718,2.919,116500,"INLAND"
-117.61,33.63,2,4678,817,1970,712,6.1078,219000,"<1H OCEAN"
-121.94,37.25,16,3942,749,1894,737,5.2894,332800,"<1H OCEAN"
-122.53,37.87,20,1814,282,658,253,7.9977,4e+05,"NEAR BAY"
-118.3,34.18,5,5492,1549,2997,1405,3.3205,172100,"<1H OCEAN"
-115.6,33.04,31,314,61,152,56,3.3472,91700,"INLAND"
-122.14,37.74,52,1071,201,440,192,4.0662,204200,"NEAR BAY"
-118.12,34.01,33,1956,478,1472,464,1.9867,166300,"<1H OCEAN"
-122.34,37.94,31,1611,455,786,411,1.681,145500,"NEAR BAY"
-121.93,37.71,26,4822,845,2288,805,4.2281,206000,"<1H OCEAN"
-121.74,36.79,16,3841,620,1799,611,4.3814,245300,"<1H OCEAN"
-122.22,37.8,52,2721,541,1185,515,4.5428,239800,"NEAR BAY"
-122.38,40.2,16,2722,511,1366,495,2.8447,87700,"INLAND"
-120.01,34.54,30,2992,609,1288,465,3.9375,292900,"NEAR OCEAN"
-117.32,34.12,39,2210,498,1752,477,1.4066,66400,"INLAND"
-116.76,34.14,4,42,10,9,3,0.536,42500,"INLAND"
-122.19,38.09,8,614,118,278,115,6.3735,166300,"NEAR BAY"
-118.12,34.02,32,1789,528,1429,517,1.8906,224500,"<1H OCEAN"
-117.25,33.22,19,2167,443,1654,435,3.5,135800,"<1H OCEAN"
-119.45,37.21,17,3538,726,1603,629,2.9449,95600,"INLAND"
-122.48,37.57,34,4648,806,2282,814,4.5556,249000,"NEAR OCEAN"
-118.2,33.79,48,2105,592,1807,539,2.7183,190400,"NEAR OCEAN"
-117.12,32.7,14,819,237,827,237,1.3194,90500,"NEAR OCEAN"
-117.6,34.02,16,2103,348,1305,356,5.2849,160400,"INLAND"
-121.95,37.54,29,3517,645,1724,585,4.6641,248900,"<1H OCEAN"
-118.27,33.84,24,6303,1277,3728,1252,3.9227,208600,"<1H OCEAN"
-120.09,36.95,16,3222,511,1425,503,4.1544,119400,"INLAND"
-118.24,34.06,33,390,199,435,193,1.1979,350000,"<1H OCEAN"
-117.84,33.65,4,1649,456,1030,411,2.2262,225000,"<1H OCEAN"
-121.13,36.2,16,1868,443,1323,436,2.9559,163200,"<1H OCEAN"
-122.18,37.45,43,2061,437,817,385,4.4688,460200,"NEAR BAY"
-118.11,33.9,26,4173,893,2471,863,3.5052,196000,"<1H OCEAN"
-118.3,34.09,36,2332,993,3155,927,2.2612,230400,"<1H OCEAN"
-118.31,34.1,33,766,347,918,305,1.705,350000,"<1H OCEAN"
-122.13,37.7,43,3046,557,1333,544,3.4583,183700,"NEAR BAY"
-117.1,32.68,20,1012,269,837,240,2.0488,88900,"NEAR OCEAN"
-123.76,41.03,24,2386,565,1058,414,2.0644,79800,"<1H OCEAN"
-118.58,34.12,42,718,140,324,131,6.4018,500001,"<1H OCEAN"
-118.41,33.99,39,3014,822,3212,777,1.1985,215000,"<1H OCEAN"
-118.27,34.25,39,699,150,358,143,4.4375,195800,"<1H OCEAN"
-118.23,34.13,47,1162,235,781,268,4.6528,244400,"<1H OCEAN"
-117.64,34.15,16,2896,404,1165,379,6.4559,392900,"INLAND"
-117.63,33.94,36,447,95,2886,85,4.2578,183300,"INLAND"
-121.8,37.35,17,2529,423,1756,429,5.1017,240700,"<1H OCEAN"
-121.84,37.32,22,3015,581,2491,530,4.3419,176300,"<1H OCEAN"
-117.1,32.9,16,2994,445,1047,437,5.149,184300,"<1H OCEAN"
-118.12,34.02,25,2655,558,1466,525,3.0529,265800,"<1H OCEAN"
-122.72,38.48,23,2296,356,902,334,6.0298,289100,"<1H OCEAN"
-117.75,34.1,21,8069,2174,4369,2036,3.2756,156800,"INLAND"
-117.98,33.94,32,2562,491,1222,446,4.0985,226200,"<1H OCEAN"
-120.88,37.57,22,1440,267,774,249,3.9821,204300,"INLAND"
-118.21,34.04,47,1306,391,1499,346,2.2788,139600,"<1H OCEAN"
-120.51,36.86,21,1779,399,1446,371,2.4414,71900,"INLAND"
-117.06,34.9,36,2828,916,1762,736,1.4318,59600,"INLAND"
-118.17,33.94,17,1145,209,499,202,4.6389,165500,"<1H OCEAN"
-118.95,34.83,18,3278,762,1338,550,2.9891,116500,"INLAND"
-118.46,34.27,30,1576,282,1004,284,4.8015,179700,"<1H OCEAN"
-121.86,38.04,52,242,59,188,54,1.3958,67500,"INLAND"
-122.25,37.87,52,609,236,1349,250,1.1696,500001,"NEAR BAY"
-117.04,33.03,16,2852,435,1083,448,6.3761,296200,"<1H OCEAN"
-119.77,36.83,19,3237,507,1378,510,4.7804,101100,"INLAND"
-124.11,40.95,19,1734,365,866,342,2.96,81700,"NEAR OCEAN"
-119.81,34.47,26,4382,618,1728,587,7.4734,432200,"NEAR OCEAN"
-117.04,34.04,30,3474,735,1674,691,2.5863,98300,"INLAND"
-119.34,36.2,12,1632,378,1303,315,2.0333,54400,"INLAND"
-117.36,33.2,19,1926,557,1190,483,1.3269,166100,"NEAR OCEAN"
-117.95,34.07,37,1375,260,951,272,3.2083,195200,"<1H OCEAN"
-122.44,37.75,52,1573,334,725,338,5.0505,380400,"NEAR BAY"
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,"NEAR BAY"
-117.99,34.08,11,2399,527,2307,531,3.5625,141000,"INLAND"
-122.41,37.75,52,2515,576,1209,540,3.5912,284900,"NEAR BAY"
-120.68,35.51,17,1701,298,941,293,4.3218,209100,"<1H OCEAN"
-122.14,37.88,34,6986,1096,2865,1124,6.2275,394400,"NEAR BAY"
-122.32,37.56,9,1150,287,377,243,3.8317,237500,"NEAR OCEAN"
-117.31,34.25,29,4610,NA,1569,592,2.7663,97900,"INLAND"
-118.41,34.01,44,2010,394,961,365,4.5982,333500,"<1H OCEAN"
-117.08,32.61,27,2264,525,1485,468,3.3514,149100,"NEAR OCEAN"
-117.88,33.76,17,1768,474,1079,436,1.7823,205300,"<1H OCEAN"
-118.52,34.2,37,1795,346,1082,354,4.9102,207200,"<1H OCEAN"
-117.34,34.13,29,1494,286,991,280,2.125,70600,"INLAND"
-116.5,33.82,16,343,85,29,14,2.1042,87500,"INLAND"
-118.12,33.88,36,1083,218,557,210,3.0795,218400,"<1H OCEAN"
-118.05,34.02,31,40,8,25,7,2.125,375000,"<1H OCEAN"
-118.3,34.03,37,2781,766,2586,729,1.8564,187500,"<1H OCEAN"
-120.65,37.33,25,1731,311,810,266,4.1058,107600,"INLAND"
-122.34,40.63,10,2183,369,1061,325,3.6853,151600,"INLAND"
-118.31,34.08,30,1390,457,1460,423,2.2422,254500,"<1H OCEAN"
-118.61,34.16,29,4364,647,1550,624,6.8107,367400,"<1H OCEAN"
-121.24,37.96,37,1175,260,951,267,2.875,57700,"INLAND"
-118.24,33.83,22,7368,1367,4721,1342,4.8438,213100,"<1H OCEAN"
-122.05,37.37,27,3885,661,1537,606,6.6085,344700,"<1H OCEAN"
-121.35,38.51,29,2337,391,1054,352,4.2206,157700,"INLAND"
-122.45,37.76,31,5283,1330,2659,1269,3.5744,5e+05,"NEAR BAY"
-122.31,40.49,18,4026,718,1731,705,3.35,118400,"INLAND"
-122.05,38.26,32,1070,199,631,195,2.6827,98900,"INLAND"
-122.03,37.93,21,4712,624,1773,615,6.0918,344800,"NEAR BAY"
-118.56,34.21,13,8327,1849,4126,1773,3.7313,189800,"<1H OCEAN"
-118.38,34.06,29,3946,1008,1676,876,2.7824,450000,"<1H OCEAN"
-119.73,34.43,27,1448,404,978,338,2.303,261000,"NEAR OCEAN"
-118.57,34.21,36,878,167,499,179,4.1181,190400,"<1H OCEAN"
-118.07,33.99,35,1625,302,1134,288,4.5595,164900,"<1H OCEAN"
-117.12,33.49,4,21988,4055,8824,3252,3.9963,191100,"<1H OCEAN"
-117.95,33.74,21,3576,554,1846,538,5.9838,271900,"<1H OCEAN"
-122.57,38.11,24,2863,734,1583,682,3.1981,215300,"NEAR BAY"
-118.39,33.86,34,2361,442,915,437,5.687,392400,"<1H OCEAN"
-122.26,37.77,52,1210,168,411,172,3.3571,405400,"NEAR BAY"
-118.47,34.06,26,6577,1789,2937,1652,4.801,500001,"<1H OCEAN"
-118.47,34.02,38,2163,651,1759,584,2.3382,297500,"<1H OCEAN"
-118.51,34.27,36,2276,429,1001,419,4.1042,252100,"<1H OCEAN"
-121.65,36.67,28,1926,556,1717,535,1.9385,123200,"<1H OCEAN"
-118.26,34.16,18,1775,525,950,522,3.5417,177100,"<1H OCEAN"
-120.25,38.55,15,4403,891,1103,433,3.0125,111700,"INLAND"
-121.97,37.29,29,2721,682,1602,646,3.337,265300,"<1H OCEAN"
-115.52,32.73,17,1190,275,1113,258,2.3571,63100,"INLAND"
-121.38,38.49,11,8537,1643,4224,1648,2.9647,108900,"INLAND"
-122.4,37.75,52,1182,307,1029,306,2.0577,214600,"NEAR BAY"
-118.33,33.72,25,6191,1081,2297,1023,6.4246,446700,"NEAR OCEAN"
-117.88,33.75,10,1823,590,2176,548,1.5026,151800,"<1H OCEAN"
-122.13,37.72,26,2862,394,1030,397,7.912,367300,"NEAR BAY"
-121.86,37.66,22,3634,664,1699,640,4.1597,293200,"INLAND"
-118.2,34.02,48,2230,593,2419,598,2.3944,130700,"<1H OCEAN"
-121.11,37.74,11,3886,599,1605,529,4.4213,182700,"INLAND"
-117.42,33.93,32,2885,595,1509,590,3.1795,125600,"INLAND"
-120.99,37.61,39,512,132,443,127,1.2857,60000,"INLAND"
-118.52,34.24,6,3218,949,2295,876,3.0926,418500,"<1H OCEAN"
-120.6,37.35,34,1722,316,904,315,2.4653,66100,"INLAND"
-122.01,37.98,25,1476,336,777,297,3.5179,165500,"NEAR BAY"
-120.52,35.24,5,4413,804,2003,725,5.0267,253300,"<1H OCEAN"
-117.3,34.53,38,1643,489,1196,406,1.2275,64100,"INLAND"
-122.31,37.54,45,1222,220,492,205,5.539,396900,"NEAR OCEAN"
-117.02,32.79,36,2211,384,868,329,4.0491,147900,"<1H OCEAN"
-121.95,36.6,32,3152,504,793,426,7.1198,469900,"NEAR OCEAN"
-117.54,33.82,6,202,29,75,28,4.125,216700,"INLAND"
-121.95,36.98,34,3745,958,1622,802,3.1546,261200,"NEAR OCEAN"
-122.07,37.63,24,2329,465,1401,453,4.5913,177600,"NEAR BAY"
-122.42,37.75,52,1855,611,1715,614,2.1289,250000,"NEAR BAY"
-119.45,35.13,34,1440,309,808,294,2.3013,26600,"INLAND"
-121.24,37.81,6,3883,800,2319,787,3.5595,161000,"INLAND"
-118.44,34.05,32,1880,435,798,417,4.7109,5e+05,"<1H OCEAN"
-118.3,34.26,42,2186,423,1145,439,4.81,191900,"<1H OCEAN"
-115.56,32.76,15,1278,217,653,185,4.4821,140300,"INLAND"
-118.1,33.82,36,1930,354,915,328,5.2713,244400,"<1H OCEAN"
-117.65,34.12,17,3006,427,1291,406,6.2083,242700,"INLAND"
-117.46,34.1,7,1759,473,1064,328,1.9583,108800,"INLAND"
-118.46,34.18,35,1819,465,1336,419,3.4583,253200,"<1H OCEAN"
-122.35,37.58,30,5039,1564,2129,1536,3.3469,345000,"NEAR OCEAN"
-118.41,34.15,24,3891,866,1568,830,4.1656,364700,"<1H OCEAN"
-118.11,34.1,44,2012,435,1454,456,3.3229,226600,"<1H OCEAN"
-123.82,40.16,19,2283,634,1184,453,1.2227,76800,"<1H OCEAN"
-122.27,37.86,52,1088,305,486,267,2.6071,250000,"NEAR BAY"
-120.33,38,14,1944,330,822,314,3.5,170700,"INLAND"
-117.14,32.71,39,1647,478,2176,479,1.7642,82900,"NEAR OCEAN"
-122.49,37.68,34,3718,676,2510,632,5.3311,270800,"NEAR OCEAN"
-122.02,37.56,23,4332,857,2461,829,4.3594,223400,"NEAR BAY"
-117.03,32.77,19,4819,1492,2572,1336,2.3393,118200,"<1H OCEAN"
-121.28,38.12,34,3268,640,1906,628,2.8237,110700,"INLAND"
-118.39,34.03,28,1722,536,1161,481,3.2228,232500,"<1H OCEAN"
-122.36,38.4,16,2716,546,898,500,2.2536,201200,"INLAND"
-122.9,39.17,45,1314,277,649,232,2.575,73600,"INLAND"
-121.29,37.96,52,287,119,154,85,0.8738,75000,"INLAND"
-119.49,36.58,21,2106,410,867,380,1.9913,95300,"INLAND"
-117.92,33.61,37,1244,173,394,154,10.3682,500001,"<1H OCEAN"
-122.19,37.44,38,3383,456,1203,465,9.3198,500001,"NEAR OCEAN"
-122.64,38.01,36,1336,258,678,249,5.5789,292000,"NEAR OCEAN"
-118.25,34.06,12,4011,1438,1673,1088,5.3081,287500,"<1H OCEAN"
-117.91,33.93,21,2578,363,1207,350,6.2452,291700,"<1H OCEAN"
-122.09,38.02,37,1742,339,1128,345,3.8824,113700,"NEAR BAY"
-121.79,37.99,18,3646,534,1651,535,5.7321,164700,"INLAND"
-117.22,33.87,16,56,7,39,14,2.625,500001,"INLAND"
-118.05,33.9,36,1047,227,975,239,3.1897,155000,"<1H OCEAN"
-117.97,34.14,33,1328,348,903,329,3.1094,136000,"INLAND"
-122.28,37.86,52,2031,450,958,445,1.9327,169900,"NEAR BAY"
-118.43,34.16,34,2622,467,1233,476,4.0474,379700,"<1H OCEAN"
-119.16,34.12,17,224,70,147,71,3.6167,280000,"NEAR OCEAN"
-118.3,33.83,33,2716,660,1807,661,3.5473,226300,"<1H OCEAN"
-119.2,34.15,27,2076,681,1904,647,1.4773,160800,"NEAR OCEAN"
-121.99,37.27,17,1527,267,775,260,5.9658,278000,"<1H OCEAN"
-118.42,34.18,40,1013,150,449,166,5.7143,382400,"<1H OCEAN"
-122.29,37.85,52,477,119,218,106,2.5682,120000,"NEAR BAY"
-122.95,40.71,26,2231,421,987,364,2.4792,88800,"INLAND"
-117.82,33.73,23,2542,772,1720,675,3.8703,137000,"<1H OCEAN"
-121.94,36.57,28,3153,409,569,271,14.4113,500001,"NEAR OCEAN"
-119.76,36.78,30,6117,1330,2768,1224,2.1383,78800,"INLAND"
-120.87,35.41,16,2168,444,782,374,3.0187,278100,"NEAR OCEAN"
-118.94,34.24,5,10018,1233,4253,1120,8.9063,500001,"<1H OCEAN"
-116.45,33.78,16,5228,992,1177,639,3.0859,134600,"INLAND"
-119.05,35.32,11,7035,1455,3525,1387,3.4827,93600,"INLAND"
-117.97,33.84,25,2471,518,1539,500,4.2679,191700,"<1H OCEAN"
-122.28,37.52,27,2958,655,1285,577,4.0801,397800,"NEAR OCEAN"
-122.06,37.73,5,3596,467,1738,512,7.0568,412500,"NEAR BAY"
-122.04,38.28,12,3861,795,2129,806,3.676,135000,"INLAND"
-118.43,34.05,52,1693,290,727,305,6.7115,500001,"<1H OCEAN"
-115.64,32.75,19,377,69,198,55,1.625,112500,"INLAND"
-118.4,34.05,26,4473,923,1518,805,5.0762,500001,"<1H OCEAN"
-121.3,38.13,27,1004,192,470,192,2.8942,116700,"INLAND"
-117.46,34.07,19,3155,572,2482,642,2.9973,113400,"INLAND"
-118.59,34.17,36,1887,359,761,329,5.4847,296000,"<1H OCEAN"
-121.99,37.61,9,3666,711,2341,703,4.6458,217000,"<1H OCEAN"
-117.37,34.08,17,2029,404,1190,437,2.9554,115000,"INLAND"
-122.35,40.25,10,1621,318,866,283,3.5,104300,"INLAND"
-116.22,34.21,23,1175,468,355,151,2.2083,42500,"INLAND"
-121.3,37.96,52,1354,314,679,311,1.7788,97400,"INLAND"
-121.94,37.34,29,3377,853,1674,792,3.4233,229300,"<1H OCEAN"
-118.04,34.16,38,1594,249,633,247,5.9582,350700,"INLAND"
-122.64,38.01,36,1199,232,551,229,3.7321,266700,"NEAR OCEAN"
-120.59,37.59,36,291,48,124,47,5.6945,154200,"INLAND"
-120.98,37.65,36,826,167,432,150,2.5,103100,"INLAND"
-118.37,33.87,19,757,148,361,141,6.02,304200,"<1H OCEAN"
-118.27,34.03,50,395,232,948,243,1.7546,175000,"<1H OCEAN"
-121.31,37.99,15,3103,965,3061,861,1.3729,110300,"INLAND"
-118.24,33.9,39,642,129,475,123,1.2083,92600,"<1H OCEAN"
-122.44,37.77,52,3475,807,1518,777,3.6186,500001,"NEAR BAY"
-118.3,33.73,42,1731,NA,866,403,2.7451,255400,"NEAR OCEAN"
-121.28,38.03,11,826,150,684,166,3.9265,107400,"INLAND"
-122.21,38.02,15,2150,327,1094,324,6.0224,198500,"NEAR BAY"
-121.45,38.62,37,1534,315,1147,322,2.5643,59800,"INLAND"
-121.83,37.38,31,3633,843,2677,797,3.2222,184800,"<1H OCEAN"
-117.97,33.8,35,2985,474,1614,453,5.4631,225600,"<1H OCEAN"
-122.03,37.98,16,1209,477,627,482,1.3894,156300,"NEAR BAY"
-117.48,34.09,32,3170,630,2612,580,3.6394,99200,"INLAND"
-121.36,38.04,4,2477,359,1234,377,5.5427,162100,"INLAND"
-121.47,37.58,14,1594,292,887,287,4.6625,294000,"INLAND"
-120.48,37.32,13,3641,897,1737,788,2.1418,130600,"INLAND"
-120.84,35.33,15,3276,670,1520,613,3.6412,207800,"NEAR OCEAN"
-118.34,34.03,46,2437,502,1151,477,2.4444,134100,"<1H OCEAN"
